Image,Threads,Run,ToGreyTime,ContrastTime,TotalTime
image0,0,1,0.000076,0.000405,0.000480
image0,0,2,0.000083,0.000421,0.000504
image0,0,3,0.000078,0.000415,0.000493
image0,0,4,0.000078,0.000404,0.000483
image0,0,5,0.000072,0.000404,0.000476
image0,1,1,0.000078,0.000405,0.000483
image0,1,2,0.000081,0.000427,0.000508
image0,1,3,0.000077,0.000400,0.000477
image0,1,4,0.000086,0.000468,0.000555
image0,1,5,0.000150,0.000595,0.000745
image0,2,1,0.000184,0.000210,0.000394
image0,2,2,0.000125,0.000277,0.000402
image0,2,3,0.000142,0.000224,0.000366
image0,2,4,0.000122,0.000206,0.000329
image0,2,5,0.000161,0.000205,0.000366
image0,4,1,0.000166,0.000115,0.000281
image0,4,2,0.000180,0.000109,0.000290
image0,4,3,0.000167,0.000109,0.000276
image0,4,4,0.000153,0.000120,0.000273
image0,4,5,0.000200,0.000116,0.000316
image0,8,1,0.006949,0.007992,0.014941
image0,8,2,0.000203,0.000113,0.000316
image0,8,3,0.000230,0.000110,0.000339
image0,8,4,0.000285,0.000095,0.000380
image0,8,5,0.001495,0.017997,0.019492
image0,16,1,0.000676,0.000340,0.001017
image0,16,2,0.000499,0.000318,0.000817
image0,16,3,0.000526,0.000443,0.000970
image0,16,4,0.000507,0.000391,0.000899
image0,16,5,0.000498,0.000442,0.000940
image1,0,1,0.000601,0.003204,0.003805
image1,0,2,0.000605,0.003213,0.003818
image1,0,3,0.000601,0.003204,0.003805
image1,0,4,0.000615,0.003228,0.003843
image1,0,5,0.000610,0.003231,0.003841
image1,1,1,0.000655,0.003186,0.003840
image1,1,2,0.000608,0.003217,0.003826
image1,1,3,0.000605,0.003176,0.003781
image1,1,4,0.000608,0.003223,0.003832
image1,1,5,0.000661,0.003183,0.003844
image1,2,1,0.000426,0.001632,0.002058
image1,2,2,0.000444,0.001631,0.002075
image1,2,3,0.000432,0.001901,0.002333
image1,2,4,0.000452,0.001698,0.002150
image1,2,5,0.000565,0.002114,0.002679
image1,4,1,0.000473,0.001476,0.001949
image1,4,2,0.000312,0.000830,0.001142
image1,4,3,0.000507,0.001280,0.001787
image1,4,4,0.000545,0.001443,0.001988
image1,4,5,0.000320,0.000828,0.001148
image1,8,1,0.000396,0.000653,0.001048
image1,8,2,0.000364,0.000647,0.001011
image1,8,3,0.000370,0.000635,0.001005
image1,8,4,0.000371,0.000636,0.001007
image1,8,5,0.000564,0.000735,0.001299
image1,16,1,0.000900,0.001402,0.002302
image1,16,2,0.001081,0.001809,0.002890
image1,16,3,0.000992,0.001377,0.002369
image1,16,4,0.001873,0.004137,0.006011
image1,16,5,0.000742,0.001499,0.002240
image2,0,1,0.010958,0.057255,0.068213
image2,0,2,0.010855,0.057381,0.068236
image2,0,3,0.010861,0.057567,0.068428
image2,0,4,0.010834,0.057482,0.068316
image2,0,5,0.010891,0.058532,0.069423
image2,1,1,0.010869,0.058721,0.069590
image2,1,2,0.010956,0.057432,0.068388
image2,1,3,0.010851,0.057205,0.068056
image2,1,4,0.010998,0.057245,0.068244
image2,1,5,0.010900,0.057712,0.068612
image2,2,1,0.005855,0.028397,0.034251
image2,2,2,0.005882,0.029354,0.035236
image2,2,3,0.005918,0.030521,0.036438
image2,2,4,0.005589,0.028463,0.034052
image2,2,5,0.005634,0.028433,0.034067
image2,4,1,0.003896,0.014644,0.018540
image2,4,2,0.003081,0.015051,0.018132
image2,4,3,0.003091,0.015812,0.018903
image2,4,4,0.003142,0.014242,0.017384
image2,4,5,0.003438,0.014284,0.017722
image2,8,1,0.007685,0.022246,0.029930
image2,8,2,0.002973,0.011485,0.014458
image2,8,3,0.002933,0.011513,0.014446
image2,8,4,0.002875,0.012220,0.015095
image2,8,5,0.002964,0.011755,0.014719
image2,16,1,0.005252,0.016978,0.022230
image2,16,2,0.004710,0.013690,0.018400
image2,16,3,0.004674,0.014343,0.019018
image2,16,4,0.004202,0.014692,0.018894
image2,16,5,0.004551,0.014368,0.018919
