Image,Threads,ToGreyTime,ContrastTime,TotalTime,Speedup,SpeedupToGrey,SpeedupContrast
image0,0,7.74e-05,0.0004098,0.00048719999999999997,1.0,1.0,1.0
image0,1,9.439999999999999e-05,0.00045900000000000004,0.0005536,0.880057803468208,0.8199152542372882,0.8928104575163398
image0,2,0.00014680000000000002,0.00022439999999999998,0.0003714,1.3117932148626819,0.5272479564032697,1.82620320855615
image0,4,0.0001732,0.00011380000000000001,0.0002872,1.6963788300835654,0.44688221709006926,3.6010544815465724
image0,8,0.0018324,0.0052614,0.0070936,0.06868162851020637,0.04223968565815324,0.07788801459687535
image0,16,0.0005412,0.00038679999999999997,0.0009285999999999999,0.5246607796683179,0.14301552106430154,1.0594622543950363
image1,0,0.0006064,0.003216,0.0038224,1.0,1.0,1.0
image1,1,0.0006274,0.0031969999999999998,0.0038246,0.9994247764472102,0.9665285304430985,1.005943071629653
image1,2,0.0004638,0.0017951999999999998,0.0022589999999999997,1.6920761398849051,1.307460112117292,1.79144385026738
image1,4,0.0004314,0.0011714,0.0016028000000000001,2.3848265535313202,1.4056560037088548,2.745432815434523
image1,8,0.000413,0.0006612,0.0010739999999999999,3.55903165735568,1.468280871670702,4.863883847549909
image1,16,0.0011176,0.0020448000000000003,0.0031624,1.2087022514545915,0.5425912670007158,1.572769953051643
image2,0,0.0108798,0.0576434,0.0685232,1.0,1.0,1.0
image2,1,0.010914799999999999,0.057663,0.068578,0.9992009099128001,0.996793344816213,0.9996600939944158
image2,2,0.0057756000000000005,0.0290336,0.0348088,1.9685596745650527,1.8837523374194887,1.985403119144715
image2,4,0.0033296,0.0148066,0.018136199999999998,3.778255643409315,3.2675997116770787,3.8930882174165573
image2,8,0.0038859999999999997,0.0138438,0.0177296,3.8649038895406553,2.799742665980443,4.163842297635043
image2,16,0.0046778,0.0148142,0.019492199999999998,3.515416422979449,2.3258369318910597,3.8910909802756812
