Graph,Version,Threads,Run,Time
rome99,NaiveSeq,1,1,0.052253
rome99,NaiveSeq,1,2,0.054608
rome99,NaiveSeq,1,3,0.052409
rome99,NaiveSeq,1,4,0.053363
rome99,NaiveSeq,1,5,0.053839
rome99,NaiveOmp,1,1,0.052195
rome99,NaiveOmp,1,2,0.053782
rome99,NaiveOmp,1,3,0.051301
rome99,NaiveOmp,1,4,0.051431
rome99,NaiveOmp,1,5,0.051550
rome99,NaiveOmp,2,1,0.032779
rome99,NaiveOmp,2,2,0.031901
rome99,NaiveOmp,2,3,0.035819
rome99,NaiveOmp,2,4,0.031843
rome99,NaiveOmp,2,5,0.032502
rome99,NaiveOmp,4,1,0.028834
rome99,NaiveOmp,4,2,0.021544
rome99,NaiveOmp,4,3,0.029668
rome99,NaiveOmp,4,4,0.026966
rome99,NaiveOmp,4,5,0.024488
rome99,NaiveOmp,8,1,0.069580
rome99,NaiveOmp,8,2,0.025931
rome99,NaiveOmp,8,3,0.068376
rome99,NaiveOmp,8,4,0.036546
rome99,NaiveOmp,8,5,0.037773
rome99,NaiveOmp,16,1,0.423317
rome99,NaiveOmp,16,2,0.425639
rome99,NaiveOmp,16,3,0.450556
rome99,NaiveOmp,16,4,0.421661
rome99,NaiveOmp,16,5,0.460890
rome99,OptSeq,1,1,0.007562
rome99,OptSeq,1,2,0.009009
rome99,OptSeq,1,3,0.010503
rome99,OptSeq,1,4,0.007538
rome99,OptSeq,1,5,0.008888
rome99,OptOmp,1,1,0.017822
rome99,OptOmp,1,2,0.017219
rome99,OptOmp,1,3,0.018748
rome99,OptOmp,1,4,0.017218
rome99,OptOmp,1,5,0.019565
rome99,OptOmp,2,1,0.014601
rome99,OptOmp,2,2,0.014452
rome99,OptOmp,2,3,0.013523
rome99,OptOmp,2,4,0.013106
rome99,OptOmp,2,5,0.019641
rome99,OptOmp,4,1,0.010577
rome99,OptOmp,4,2,0.012745
rome99,OptOmp,4,3,0.013442
rome99,OptOmp,4,4,0.012114
rome99,OptOmp,4,5,0.013904
rome99,OptOmp,8,1,0.047789
rome99,OptOmp,8,2,0.015120
rome99,OptOmp,8,3,0.043096
rome99,OptOmp,8,4,0.061826
rome99,OptOmp,8,5,0.023257
rome99,OptOmp,16,1,0.405955
rome99,OptOmp,16,2,0.411037
rome99,OptOmp,16,3,0.447187
rome99,OptOmp,16,4,0.400187
rome99,OptOmp,16,5,0.410573
newyork,OptSeq,1,1,43.360089
newyork,OptSeq,1,2,43.053151
newyork,OptSeq,1,3,43.060190
newyork,OptSeq,1,4,42.980854
newyork,OptSeq,1,5,42.965466
newyork,OptOmp,1,1,63.406153
newyork,OptOmp,1,2,58.454174
newyork,OptOmp,1,3,58.463823
newyork,OptOmp,1,4,58.526680
newyork,OptOmp,1,5,58.611131
newyork,OptOmp,2,1,36.561712
newyork,OptOmp,2,2,36.669015
newyork,OptOmp,2,3,36.634933
newyork,OptOmp,2,4,36.597082
newyork,OptOmp,2,5,36.629110
newyork,OptOmp,4,1,24.037741
newyork,OptOmp,4,2,24.071883
newyork,OptOmp,4,3,23.936254
newyork,OptOmp,4,4,23.985389
newyork,OptOmp,4,5,23.925502
newyork,OptOmp,8,1,19.679498
newyork,OptOmp,8,2,19.608901
newyork,OptOmp,8,3,19.598603
newyork,OptOmp,8,4,19.546885
newyork,OptOmp,8,5,19.918797
newyork,OptOmp,16,1,63.212441
newyork,OptOmp,16,2,65.273714
newyork,OptOmp,16,3,62.399972
newyork,OptOmp,16,4,62.541431
newyork,OptOmp,16,5,62.731631
