Graph,Version,Threads,MinTime,MaxTime,AvgTime,MedianTime,SpeedupMin,SpeedupAvg
rome99,NaiveOmp,1,0.051301,0.053782,0.0520518,0.05155,1.0185571431356115,1.0238723732896844
rome99,NaiveOmp,2,0.031843,0.035819,0.0329688,0.032502,1.6409571962440723,1.616510155055689
rome99,NaiveOmp,4,0.021544,0.029668,0.0263,0.026966,2.4254084663943556,2.026403041825095
rome99,NaiveOmp,8,0.025931,0.06958,0.0476412,0.037773,2.0150784774979753,1.1186619984383264
rome99,NaiveOmp,16,0.421661,0.46089,0.4364126,0.425639,0.12392182345533498,0.12211929719719367
rome99,NaiveSeq,1,0.052253,0.054608,0.0532944,0.053363,1.0,1.0
rome99,OptOmp,1,0.017218,0.019565,0.0181144,0.017822,0.4377976536183064,0.480280881508634
rome99,OptOmp,2,0.013106,0.019641,0.0150646,0.014452,0.5751564169082863,0.5775128446822352
rome99,OptOmp,4,0.010577,0.013904,0.0125564,0.012745,0.7126784532476128,0.69287375362365
rome99,OptOmp,8,0.01512,0.061826,0.0382176,0.043096,0.49854497354497357,0.22764380808842
rome99,OptOmp,16,0.400187,0.447187,0.4149878,0.410573,0.018836194079267943,0.02096447172663871
rome99,OptSeq,1,0.007538,0.010503,0.0087,0.008888,1.0,1.0
newyork,OptOmp,1,58.454174,63.406153,59.4923922,58.52668,0.7350281949070052,0.7241925968477025
newyork,OptOmp,2,36.561712,36.669015,36.618370399999996,36.62911,1.175149183386161,1.1765665574238664
newyork,OptOmp,4,23.925502,24.071883,23.991353800000002,23.985389,1.7958020692731962,1.7958115394055003
newyork,OptOmp,8,19.546885,19.918797,19.6705368,19.608901,2.1980722759662217,2.190278304962171
newyork,OptOmp,16,62.399972,65.273714,63.2318378,62.731631,0.6885494435798786,0.6813648234655613
newyork,OptSeq,1,42.965466,43.360089,43.08395,43.053151,1.0,1.0
