Dataset,K,Threads,Run,SeqTime,ParTime,SeqIt,ParIt
dataset_10000_4.txt,4,1,1,0.000348,0.000373,4,4
dataset_10000_4.txt,4,1,2,0.000348,0.000382,4,4
dataset_10000_4.txt,4,1,3,0.000664,0.000673,4,4
dataset_10000_4.txt,4,1,4,0.000354,0.000369,4,4
dataset_10000_4.txt,4,1,5,0.000382,0.00044,4,4
dataset_10000_4.txt,4,2,1,0.000386,0.000882,4,4
dataset_10000_4.txt,4,2,2,0.000667,0.000903,4,4
dataset_10000_4.txt,4,2,3,0.000367,0.000841,4,4
dataset_10000_4.txt,4,2,4,0.00035,0.000858,4,4
dataset_10000_4.txt,4,2,5,0.000692,0.005056,4,4
dataset_10000_4.txt,4,4,1,0.000361,0.000697,4,4
dataset_10000_4.txt,4,4,2,0.00036,0.00069,4,4
dataset_10000_4.txt,4,4,3,0.000681,0.006168,4,4
dataset_10000_4.txt,4,4,4,0.000345,0.000636,4,4
dataset_10000_4.txt,4,4,5,0.000345,0.000678,4,4
dataset_10000_4.txt,4,8,1,0.000339,0.050612,4,4
dataset_10000_4.txt,4,8,2,0.000395,0.036098,4,4
dataset_10000_4.txt,4,8,3,0.000297,0.045339,4,4
dataset_10000_4.txt,4,8,4,0.000609,0.04769,4,4
dataset_10000_4.txt,4,8,5,0.000308,0.044703,4,4
dataset_10000_4.txt,4,16,1,0.00031,0.001723,4,4
dataset_10000_4.txt,4,16,2,0.000329,0.002965,4,4
dataset_10000_4.txt,4,16,3,0.000597,0.001568,4,4
dataset_10000_4.txt,4,16,4,0.000457,0.001698,4,4
dataset_10000_4.txt,4,16,5,0.000378,0.001622,4,4
dataset_10000_4.txt,8,1,1,0.01144,0.010912,73,73
dataset_10000_4.txt,8,1,2,0.013094,0.010299,73,73
dataset_10000_4.txt,8,1,3,0.010031,0.010162,73,73
dataset_10000_4.txt,8,1,4,0.012318,0.011057,73,73
dataset_10000_4.txt,8,1,5,0.010747,0.011238,73,73
dataset_10000_4.txt,8,2,1,0.016092,0.012442,73,73
dataset_10000_4.txt,8,2,2,0.011837,0.010443,73,73
dataset_10000_4.txt,8,2,3,0.0112,0.009367,73,73
dataset_10000_4.txt,8,2,4,0.013959,0.009662,73,73
dataset_10000_4.txt,8,2,5,0.012393,0.01047,73,73
dataset_10000_4.txt,8,4,1,0.014472,0.010436,73,73
dataset_10000_4.txt,8,4,2,0.011068,0.009563,73,73
dataset_10000_4.txt,8,4,3,0.011481,0.010594,73,73
dataset_10000_4.txt,8,4,4,0.012674,0.010531,73,73
dataset_10000_4.txt,8,4,5,0.010066,0.010171,73,73
dataset_10000_4.txt,8,8,1,0.011566,0.025306,73,73
dataset_10000_4.txt,8,8,2,0.010545,0.011767,73,73
dataset_10000_4.txt,8,8,3,0.012157,0.053812,73,73
dataset_10000_4.txt,8,8,4,0.011944,0.010565,73,73
dataset_10000_4.txt,8,8,5,0.009689,0.067314,73,73
dataset_10000_4.txt,8,16,1,0.011034,0.013531,73,73
dataset_10000_4.txt,8,16,2,0.010162,0.013641,73,73
dataset_10000_4.txt,8,16,3,0.011481,0.015487,73,73
dataset_10000_4.txt,8,16,4,0.010208,0.017773,73,73
dataset_10000_4.txt,8,16,5,0.011097,0.014348,73,73
dataset_10000_4.txt,10,1,1,0.015796,0.012647,73,73
dataset_10000_4.txt,10,1,2,0.01449,0.012527,73,73
dataset_10000_4.txt,10,1,3,0.017833,0.012723,73,73
dataset_10000_4.txt,10,1,4,0.012048,0.015235,73,73
dataset_10000_4.txt,10,1,5,0.012412,0.012041,73,73
dataset_10000_4.txt,10,2,1,0.019149,0.011999,73,73
dataset_10000_4.txt,10,2,2,0.011812,0.014202,73,73
dataset_10000_4.txt,10,2,3,0.013106,0.011745,73,73
dataset_10000_4.txt,10,2,4,0.014766,0.011417,73,73
dataset_10000_4.txt,10,2,5,0.011842,0.012119,73,73
dataset_10000_4.txt,10,4,1,0.014912,0.011608,73,73
dataset_10000_4.txt,10,4,2,0.013034,0.009794,73,73
dataset_10000_4.txt,10,4,3,0.014241,0.010837,73,73
dataset_10000_4.txt,10,4,4,0.015984,0.011764,73,73
dataset_10000_4.txt,10,4,5,0.012252,0.010659,73,73
dataset_10000_4.txt,10,8,1,0.014403,0.008131,73,73
dataset_10000_4.txt,10,8,2,0.011901,0.011154,73,73
dataset_10000_4.txt,10,8,3,0.016707,0.010288,73,73
dataset_10000_4.txt,10,8,4,0.013407,0.008362,73,73
dataset_10000_4.txt,10,8,5,0.01352,0.007137,73,73
dataset_10000_4.txt,10,16,1,0.012398,0.016816,73,73
dataset_10000_4.txt,10,16,2,0.01285,0.014735,73,73
dataset_10000_4.txt,10,16,3,0.015306,0.016133,73,73
dataset_10000_4.txt,10,16,4,0.01282,0.014574,73,73
dataset_10000_4.txt,10,16,5,0.014235,0.014003,73,73
dataset_10000_4.txt,16,1,1,0.010941,0.011242,42,42
dataset_10000_4.txt,16,1,2,0.011328,0.011115,42,42
dataset_10000_4.txt,16,1,3,0.013611,0.010775,42,42
dataset_10000_4.txt,16,1,4,0.010509,0.010592,42,42
dataset_10000_4.txt,16,1,5,0.01464,0.01063,42,42
dataset_10000_4.txt,16,2,1,0.011251,0.007312,42,42
dataset_10000_4.txt,16,2,2,0.011795,0.007026,42,42
dataset_10000_4.txt,16,2,3,0.010708,0.007383,42,42
dataset_10000_4.txt,16,2,4,0.011387,0.006735,42,42
dataset_10000_4.txt,16,2,5,0.010362,0.007485,42,42
dataset_10000_4.txt,16,4,1,0.011983,0.005058,42,42
dataset_10000_4.txt,16,4,2,0.010354,0.004604,42,42
dataset_10000_4.txt,16,4,3,0.010965,0.005316,42,42
dataset_10000_4.txt,16,4,4,0.014439,0.006188,42,42
dataset_10000_4.txt,16,4,5,0.012899,0.006648,42,42
dataset_10000_4.txt,16,8,1,0.014196,0.004102,42,42
dataset_10000_4.txt,16,8,2,0.010425,0.008475,42,42
dataset_10000_4.txt,16,8,3,0.013469,0.00399,42,42
dataset_10000_4.txt,16,8,4,0.012113,0.005236,42,42
dataset_10000_4.txt,16,8,5,0.013394,0.044956,42,42
dataset_10000_4.txt,16,16,1,0.013434,0.010154,42,42
dataset_10000_4.txt,16,16,2,0.011137,0.009322,42,42
dataset_10000_4.txt,16,16,3,0.014573,0.009165,42,42
dataset_10000_4.txt,16,16,4,0.0104,0.013384,42,42
dataset_10000_4.txt,16,16,5,0.015452,0.010802,42,42
dataset_200000_4.txt,4,1,1,0.006104,0.006061,4,4
dataset_200000_4.txt,4,1,2,0.006079,0.005901,4,4
dataset_200000_4.txt,4,1,3,0.006199,0.005935,4,4
dataset_200000_4.txt,4,1,4,0.008056,0.005964,4,4
dataset_200000_4.txt,4,1,5,0.006324,0.006868,4,4
dataset_200000_4.txt,4,2,1,0.006087,0.0141,4,4
dataset_200000_4.txt,4,2,2,0.006067,0.012767,4,4
dataset_200000_4.txt,4,2,3,0.006124,0.012676,4,4
dataset_200000_4.txt,4,2,4,0.006262,0.013207,4,4
dataset_200000_4.txt,4,2,5,0.00859,0.013383,4,4
dataset_200000_4.txt,4,4,1,0.006078,0.009474,4,4
dataset_200000_4.txt,4,4,2,0.006152,0.008925,4,4
dataset_200000_4.txt,4,4,3,0.006258,0.008828,4,4
dataset_200000_4.txt,4,4,4,0.00651,0.008713,4,4
dataset_200000_4.txt,4,4,5,0.006096,0.009127,4,4
dataset_200000_4.txt,4,8,1,0.006104,0.007262,4,4
dataset_200000_4.txt,4,8,2,0.006107,0.012689,4,4
dataset_200000_4.txt,4,8,3,0.00609,0.008152,4,4
dataset_200000_4.txt,4,8,4,0.006844,0.020781,4,4
dataset_200000_4.txt,4,8,5,0.006648,0.010037,4,4
dataset_200000_4.txt,4,16,1,0.006069,0.006517,4,4
dataset_200000_4.txt,4,16,2,0.006279,0.006256,4,4
dataset_200000_4.txt,4,16,3,0.006567,0.007258,4,4
dataset_200000_4.txt,4,16,4,0.006108,0.006318,4,4
dataset_200000_4.txt,4,16,5,0.00609,0.006587,4,4
dataset_200000_4.txt,8,1,1,0.135838,0.153596,51,51
dataset_200000_4.txt,8,1,2,0.139077,0.139184,51,51
dataset_200000_4.txt,8,1,3,0.135487,0.137828,51,51
dataset_200000_4.txt,8,1,4,0.134809,0.14262,51,51
dataset_200000_4.txt,8,1,5,0.139183,0.13585,51,51
dataset_200000_4.txt,8,2,1,0.185691,0.144791,51,51
dataset_200000_4.txt,8,2,2,0.139106,0.137642,51,51
dataset_200000_4.txt,8,2,3,0.137228,0.135451,51,51
dataset_200000_4.txt,8,2,4,0.140297,0.136107,51,51
